Epochs,Acc,H[G|U],H[Z],H[U|G],H[U],sumI[A:A],I[A_0:Z],I[A_1:Z],I[A_2:Z],I[A_3:Z],I[A_4:Z],I[A_5:Z],I[A_6:Z],I[A_7:Z],I[A0:A1],I[A0:A2],I[A0:A3],I[A0:A4],I[A0:A5],I[A0:A6],I[A0:A7],I[A1:A2],I[A1:A3],I[A1:A4],I[A1:A5],I[A1:A6],I[A1:A7],I[A2:A3],I[A2:A4],I[A2:A5],I[A2:A6],I[A2:A7],I[A3:A4],I[A3:A5],I[A3:A6],I[A3:A7],I[A4:A5],I[A4:A6],I[A4:A7],I[A5:A6],I[A5:A7],I[A6:A7]
1000,0.968,0.069,3.466,0.288,3.685,1.535,0.663,0.653,0.617,0.665,0.679,0.633,0.68,0.639,0.299,0.0,0.011,0.002,0.002,0.0,0.002,0.0,0.008,0.003,0.024,0.032,0.024,0.183,0.001,0.058,0.028,0.058,0.057,0.023,0.0,0.022,0.025,0.019,0.028,0.018,0.589,0.019
1100,0.968,0.063,3.466,0.261,3.664,1.547,0.667,0.656,0.62,0.667,0.68,0.638,0.682,0.643,0.303,0.0,0.011,0.002,0.002,0.0,0.002,0.0,0.008,0.003,0.023,0.032,0.023,0.184,0.001,0.059,0.028,0.059,0.056,0.022,0.0,0.021,0.025,0.019,0.028,0.018,0.598,0.019
1200,0.968,0.06,3.466,0.242,3.648,1.555,0.669,0.659,0.622,0.67,0.681,0.642,0.684,0.646,0.306,0.0,0.01,0.002,0.002,0.0,0.002,0.0,0.008,0.003,0.023,0.032,0.023,0.185,0.001,0.059,0.028,0.059,0.056,0.022,0.0,0.021,0.026,0.019,0.028,0.018,0.604,0.019
1300,0.968,0.057,3.466,0.226,3.635,1.562,0.672,0.661,0.625,0.671,0.681,0.645,0.684,0.649,0.309,0.0,0.01,0.002,0.002,0.0,0.002,0.0,0.008,0.003,0.023,0.031,0.022,0.186,0.001,0.059,0.028,0.059,0.056,0.022,0.0,0.021,0.026,0.019,0.028,0.018,0.61,0.019
1400,0.968,0.055,3.466,0.214,3.624,1.568,0.673,0.663,0.626,0.673,0.682,0.647,0.685,0.651,0.31,0.0,0.01,0.002,0.002,0.0,0.002,0.0,0.008,0.003,0.022,0.031,0.022,0.186,0.001,0.059,0.028,0.059,0.055,0.021,0.0,0.021,0.026,0.019,0.028,0.018,0.614,0.019
1500,0.968,0.054,3.466,0.203,3.615,1.572,0.675,0.665,0.628,0.674,0.682,0.649,0.685,0.653,0.312,0.0,0.01,0.002,0.002,0.0,0.002,0.0,0.008,0.003,0.022,0.031,0.022,0.187,0.001,0.059,0.028,0.059,0.055,0.021,0.0,0.02,0.026,0.019,0.028,0.018,0.618,0.019
1600,0.968,0.053,3.466,0.194,3.608,1.576,0.676,0.666,0.63,0.675,0.682,0.651,0.686,0.654,0.313,0.0,0.01,0.002,0.002,0.0,0.002,0.0,0.008,0.003,0.022,0.031,0.022,0.188,0.001,0.059,0.028,0.06,0.055,0.021,0.0,0.02,0.026,0.019,0.028,0.018,0.621,0.019
1700,0.968,0.052,3.466,0.187,3.601,1.579,0.677,0.667,0.631,0.676,0.682,0.652,0.686,0.655,0.314,0.0,0.01,0.002,0.002,0.0,0.002,0.0,0.008,0.003,0.022,0.031,0.021,0.188,0.001,0.059,0.028,0.06,0.055,0.021,0.0,0.02,0.027,0.019,0.027,0.018,0.623,0.019
1800,0.968,0.051,3.466,0.18,3.595,1.582,0.677,0.668,0.632,0.677,0.683,0.654,0.686,0.656,0.315,0.0,0.009,0.002,0.002,0.0,0.002,0.0,0.008,0.003,0.022,0.031,0.021,0.189,0.001,0.059,0.028,0.06,0.055,0.021,0.0,0.02,0.027,0.019,0.027,0.018,0.625,0.019
1900,0.968,0.05,3.466,0.175,3.59,1.585,0.678,0.669,0.633,0.678,0.683,0.655,0.686,0.657,0.315,0.0,0.009,0.002,0.002,0.0,0.002,0.0,0.008,0.003,0.022,0.031,0.021,0.189,0.001,0.059,0.028,0.059,0.055,0.021,0.0,0.02,0.027,0.019,0.027,0.018,0.627,0.019
2000,0.968,0.05,3.466,0.17,3.586,1.587,0.679,0.669,0.634,0.679,0.683,0.656,0.687,0.658,0.316,0.0,0.009,0.002,0.002,0.0,0.002,0.0,0.008,0.003,0.022,0.031,0.021,0.19,0.001,0.059,0.028,0.059,0.055,0.021,0.0,0.02,0.027,0.019,0.027,0.018,0.629,0.019
2100,0.968,0.049,3.466,0.166,3.582,1.588,0.679,0.67,0.635,0.68,0.683,0.656,0.687,0.658,0.317,0.0,0.009,0.002,0.002,0.0,0.002,0.0,0.008,0.003,0.021,0.031,0.021,0.191,0.001,0.059,0.028,0.059,0.054,0.021,0.0,0.02,0.027,0.019,0.027,0.019,0.63,0.019
2200,0.969,0.049,3.466,0.162,3.579,1.59,0.68,0.67,0.636,0.68,0.683,0.657,0.687,0.659,0.317,0.0,0.009,0.002,0.002,0.0,0.002,0.0,0.008,0.003,0.021,0.03,0.021,0.191,0.001,0.059,0.028,0.059,0.054,0.02,0.0,0.02,0.027,0.019,0.027,0.019,0.631,0.019
2300,0.969,0.049,3.466,0.159,3.576,1.591,0.68,0.671,0.637,0.681,0.683,0.658,0.687,0.659,0.317,0.0,0.009,0.002,0.002,0.0,0.002,0.0,0.008,0.003,0.021,0.03,0.021,0.192,0.001,0.059,0.028,0.059,0.054,0.02,0.0,0.02,0.027,0.019,0.027,0.019,0.632,0.019
2400,0.969,0.048,3.466,0.156,3.573,1.592,0.68,0.671,0.637,0.681,0.683,0.658,0.687,0.659,0.318,0.0,0.009,0.002,0.002,0.0,0.002,0.0,0.008,0.003,0.021,0.03,0.021,0.192,0.001,0.058,0.028,0.059,0.054,0.02,0.0,0.02,0.027,0.019,0.028,0.019,0.633,0.019
2500,0.968,0.048,3.466,0.153,3.571,1.593,0.681,0.671,0.638,0.682,0.683,0.658,0.687,0.66,0.318,0.0,0.009,0.002,0.002,0.0,0.002,0.0,0.008,0.003,0.021,0.03,0.021,0.193,0.001,0.058,0.028,0.059,0.054,0.02,0.0,0.02,0.027,0.019,0.028,0.019,0.633,0.019
2600,0.968,0.048,3.466,0.151,3.569,1.594,0.681,0.671,0.638,0.682,0.683,0.659,0.687,0.66,0.318,0.0,0.009,0.002,0.002,0.0,0.002,0.0,0.008,0.003,0.021,0.03,0.021,0.193,0.001,0.058,0.029,0.059,0.054,0.02,0.0,0.02,0.027,0.019,0.028,0.019,0.634,0.019
2700,0.968,0.048,3.466,0.15,3.568,1.594,0.681,0.67,0.639,0.683,0.683,0.659,0.687,0.66,0.318,0.0,0.009,0.002,0.002,0.0,0.002,0.0,0.008,0.003,0.021,0.03,0.02,0.194,0.001,0.058,0.029,0.058,0.054,0.02,0.0,0.02,0.027,0.019,0.028,0.019,0.634,0.019
2800,1.0,0.006,3.466,0.18,3.639,1.484,0.682,0.631,0.638,0.684,0.683,0.659,0.687,0.658,0.253,0.0,0.009,0.002,0.002,0.0,0.001,0.003,0.001,0.0,0.012,0.011,0.011,0.193,0.001,0.059,0.028,0.059,0.054,0.02,0.0,0.019,0.027,0.019,0.027,0.019,0.632,0.019
2900,1.0,0.005,3.466,0.159,3.62,1.498,0.683,0.649,0.64,0.684,0.683,0.659,0.687,0.66,0.264,0.0,0.009,0.002,0.002,0.0,0.001,0.003,0.001,0.0,0.011,0.013,0.011,0.194,0.001,0.058,0.029,0.059,0.054,0.02,0.0,0.019,0.027,0.019,0.027,0.019,0.634,0.019
3000,1.0,0.004,3.466,0.152,3.613,1.503,0.683,0.655,0.64,0.684,0.684,0.659,0.687,0.66,0.268,0.0,0.009,0.002,0.002,0.0,0.001,0.003,0.001,0.0,0.011,0.014,0.01,0.194,0.001,0.058,0.029,0.059,0.054,0.02,0.0,0.019,0.027,0.019,0.028,0.019,0.635,0.019
3100,1.0,0.004,3.466,0.149,3.61,1.505,0.683,0.658,0.64,0.684,0.684,0.659,0.688,0.66,0.269,0.0,0.009,0.002,0.002,0.0,0.001,0.003,0.001,0.0,0.011,0.015,0.01,0.195,0.001,0.058,0.029,0.059,0.054,0.02,0.0,0.019,0.027,0.019,0.028,0.019,0.635,0.019
3200,1.0,0.004,3.466,0.147,3.609,1.506,0.683,0.659,0.641,0.685,0.684,0.66,0.688,0.66,0.27,0.0,0.009,0.002,0.002,0.0,0.001,0.003,0.001,0.0,0.011,0.015,0.01,0.195,0.001,0.058,0.029,0.058,0.054,0.02,0.0,0.019,0.027,0.019,0.028,0.019,0.635,0.019
3300,1.0,0.004,3.466,0.146,3.608,1.507,0.683,0.66,0.641,0.685,0.684,0.66,0.688,0.66,0.27,0.0,0.009,0.002,0.002,0.0,0.001,0.003,0.001,0.0,0.011,0.015,0.01,0.196,0.001,0.058,0.029,0.058,0.054,0.02,0.0,0.019,0.027,0.019,0.028,0.019,0.635,0.019
3400,1.0,0.004,3.466,0.145,3.607,1.507,0.683,0.661,0.641,0.685,0.684,0.659,0.688,0.66,0.27,0.0,0.009,0.002,0.002,0.0,0.001,0.003,0.001,0.0,0.011,0.015,0.01,0.196,0.001,0.058,0.029,0.058,0.054,0.02,0.0,0.019,0.027,0.019,0.028,0.019,0.635,0.019
3500,1.0,0.004,3.466,0.145,3.607,1.507,0.683,0.661,0.641,0.685,0.684,0.659,0.688,0.659,0.271,0.0,0.009,0.002,0.002,0.0,0.001,0.003,0.001,0.0,0.011,0.015,0.01,0.196,0.001,0.057,0.03,0.058,0.054,0.02,0.0,0.019,0.027,0.019,0.028,0.019,0.635,0.019
3600,1.0,0.004,3.466,0.145,3.607,1.507,0.683,0.662,0.641,0.685,0.684,0.659,0.688,0.659,0.271,0.0,0.009,0.002,0.002,0.0,0.001,0.003,0.001,0.0,0.011,0.015,0.011,0.197,0.001,0.057,0.03,0.058,0.054,0.02,0.0,0.019,0.027,0.019,0.027,0.019,0.634,0.019
3700,1.0,0.004,3.466,0.145,3.607,1.507,0.683,0.662,0.642,0.685,0.684,0.659,0.688,0.659,0.271,0.0,0.009,0.002,0.002,0.0,0.001,0.003,0.001,0.0,0.011,0.015,0.011,0.197,0.001,0.057,0.03,0.057,0.054,0.02,0.0,0.019,0.027,0.019,0.027,0.019,0.634,0.019
3800,1.0,0.004,3.466,0.145,3.607,1.506,0.683,0.662,0.642,0.685,0.684,0.659,0.688,0.659,0.271,0.0,0.009,0.002,0.002,0.0,0.001,0.003,0.001,0.0,0.011,0.015,0.011,0.197,0.001,0.057,0.03,0.057,0.054,0.02,0.0,0.019,0.027,0.019,0.027,0.019,0.633,0.019
3900,1.0,0.004,3.466,0.145,3.607,1.506,0.683,0.662,0.642,0.686,0.684,0.658,0.688,0.658,0.271,0.0,0.009,0.002,0.002,0.0,0.001,0.003,0.001,0.0,0.011,0.015,0.011,0.198,0.001,0.057,0.03,0.057,0.053,0.02,0.0,0.019,0.027,0.019,0.027,0.019,0.633,0.019
4000,1.0,0.004,3.466,0.145,3.607,1.505,0.683,0.663,0.642,0.686,0.684,0.658,0.688,0.658,0.271,0.0,0.009,0.002,0.002,0.0,0.001,0.003,0.001,0.0,0.011,0.015,0.011,0.198,0.001,0.057,0.03,0.057,0.053,0.02,0.0,0.019,0.027,0.019,0.027,0.019,0.632,0.019
4100,0.999,0.004,3.466,0.145,3.607,1.505,0.683,0.663,0.642,0.686,0.684,0.658,0.688,0.658,0.271,0.0,0.009,0.003,0.002,0.0,0.001,0.003,0.001,0.0,0.011,0.015,0.011,0.198,0.001,0.056,0.03,0.057,0.053,0.02,0.0,0.019,0.027,0.019,0.027,0.019,0.632,0.019
4200,1.0,0.004,3.466,0.146,3.608,1.504,0.684,0.663,0.642,0.686,0.684,0.657,0.688,0.657,0.271,0.0,0.009,0.003,0.002,0.0,0.001,0.002,0.001,0.0,0.011,0.015,0.011,0.198,0.001,0.056,0.03,0.057,0.053,0.02,0.0,0.019,0.027,0.019,0.027,0.019,0.631,0.019
4300,1.0,0.004,3.466,0.146,3.608,1.503,0.684,0.663,0.642,0.686,0.684,0.657,0.688,0.657,0.271,0.0,0.009,0.003,0.002,0.0,0.001,0.002,0.002,0.0,0.011,0.015,0.011,0.198,0.001,0.056,0.03,0.056,0.053,0.02,0.0,0.019,0.027,0.019,0.027,0.019,0.63,0.019
4400,1.0,0.004,3.466,0.146,3.609,1.502,0.684,0.663,0.642,0.686,0.684,0.657,0.688,0.657,0.271,0.0,0.008,0.003,0.002,0.0,0.001,0.002,0.002,0.0,0.011,0.015,0.011,0.198,0.001,0.056,0.03,0.056,0.053,0.02,0.0,0.019,0.027,0.019,0.027,0.019,0.63,0.019
4500,1.0,0.003,3.466,0.147,3.609,1.502,0.684,0.663,0.642,0.686,0.684,0.657,0.688,0.656,0.271,0.0,0.008,0.003,0.002,0.0,0.001,0.002,0.002,0.0,0.011,0.015,0.011,0.199,0.001,0.056,0.03,0.056,0.053,0.02,0.0,0.019,0.027,0.019,0.027,0.019,0.629,0.019
4600,1.0,0.003,3.466,0.147,3.61,1.501,0.684,0.663,0.642,0.686,0.683,0.656,0.688,0.656,0.271,0.0,0.008,0.003,0.002,0.0,0.001,0.002,0.002,0.0,0.011,0.015,0.011,0.199,0.001,0.056,0.03,0.056,0.053,0.02,0.0,0.019,0.027,0.019,0.027,0.019,0.629,0.019
4700,1.0,0.003,3.466,0.148,3.61,1.5,0.684,0.663,0.642,0.686,0.683,0.656,0.688,0.655,0.271,0.0,0.008,0.003,0.002,0.0,0.001,0.002,0.002,0.0,0.011,0.015,0.011,0.198,0.001,0.056,0.03,0.056,0.053,0.02,0.0,0.019,0.027,0.019,0.027,0.018,0.628,0.019
4800,1.0,0.003,3.466,0.149,3.611,1.498,0.684,0.664,0.642,0.686,0.683,0.656,0.688,0.655,0.272,0.0,0.008,0.003,0.002,0.0,0.001,0.002,0.002,0.0,0.011,0.015,0.011,0.198,0.001,0.056,0.03,0.056,0.053,0.02,0.0,0.019,0.027,0.019,0.027,0.018,0.627,0.019
4900,1.0,0.003,3.466,0.15,3.612,1.497,0.685,0.664,0.641,0.686,0.683,0.655,0.688,0.655,0.272,0.0,0.008,0.003,0.002,0.0,0.001,0.002,0.002,0.0,0.011,0.016,0.011,0.198,0.001,0.056,0.03,0.056,0.053,0.02,0.0,0.019,0.027,0.019,0.027,0.018,0.626,0.019
5000,1.0,0.003,3.466,0.151,3.614,1.495,0.685,0.664,0.641,0.686,0.683,0.655,0.688,0.654,0.272,0.0,0.008,0.003,0.002,0.0,0.001,0.002,0.002,0.0,0.011,0.016,0.011,0.198,0.001,0.056,0.03,0.056,0.053,0.019,0.0,0.019,0.027,0.019,0.027,0.018,0.625,0.018
5100,1.0,0.003,3.466,0.153,3.615,1.494,0.685,0.664,0.641,0.686,0.683,0.654,0.688,0.654,0.272,0.0,0.008,0.003,0.002,0.0,0.001,0.002,0.002,0.0,0.011,0.016,0.011,0.198,0.001,0.056,0.03,0.055,0.053,0.019,0.0,0.019,0.027,0.019,0.027,0.018,0.624,0.018
5200,1.0,0.003,3.466,0.154,3.617,1.492,0.685,0.664,0.64,0.686,0.683,0.654,0.688,0.653,0.272,0.0,0.008,0.003,0.002,0.0,0.001,0.002,0.002,0.0,0.011,0.016,0.011,0.198,0.001,0.055,0.03,0.055,0.053,0.019,0.0,0.019,0.027,0.019,0.027,0.018,0.623,0.018
5300,1.0,0.003,3.466,0.156,3.619,1.49,0.685,0.664,0.639,0.686,0.683,0.653,0.688,0.653,0.272,0.0,0.008,0.003,0.002,0.0,0.001,0.002,0.002,0.0,0.011,0.016,0.011,0.197,0.001,0.055,0.03,0.055,0.053,0.019,0.0,0.019,0.027,0.019,0.027,0.018,0.622,0.018
5400,1.0,0.003,3.466,0.158,3.621,1.487,0.685,0.664,0.639,0.686,0.683,0.653,0.688,0.652,0.272,0.0,0.008,0.003,0.002,0.0,0.001,0.002,0.002,0.0,0.011,0.016,0.011,0.197,0.001,0.055,0.03,0.055,0.053,0.019,0.0,0.019,0.027,0.019,0.027,0.018,0.621,0.018
5500,1.0,0.003,3.466,0.16,3.623,1.485,0.686,0.664,0.638,0.686,0.683,0.652,0.688,0.651,0.272,0.0,0.008,0.003,0.002,0.0,0.001,0.002,0.002,0.0,0.011,0.016,0.011,0.197,0.001,0.055,0.03,0.055,0.053,0.019,0.0,0.019,0.027,0.019,0.027,0.018,0.62,0.018
5600,1.0,0.003,3.466,0.163,3.625,1.482,0.686,0.664,0.637,0.685,0.683,0.651,0.688,0.651,0.272,0.0,0.008,0.003,0.002,0.0,0.001,0.002,0.002,0.0,0.011,0.016,0.011,0.196,0.001,0.055,0.03,0.055,0.053,0.019,0.0,0.019,0.027,0.019,0.027,0.018,0.618,0.018
5700,1.0,0.003,3.466,0.165,3.627,1.48,0.686,0.664,0.635,0.685,0.683,0.651,0.687,0.65,0.272,0.0,0.008,0.003,0.002,0.0,0.001,0.002,0.002,0.0,0.011,0.016,0.011,0.196,0.001,0.055,0.029,0.055,0.053,0.019,0.0,0.019,0.027,0.019,0.027,0.018,0.617,0.018
5800,1.0,0.003,3.466,0.167,3.63,1.478,0.686,0.664,0.634,0.685,0.683,0.65,0.687,0.65,0.272,0.0,0.008,0.003,0.002,0.0,0.001,0.002,0.002,0.0,0.011,0.016,0.011,0.195,0.001,0.055,0.029,0.055,0.053,0.019,0.0,0.019,0.027,0.019,0.026,0.018,0.616,0.018
5900,1.0,0.003,3.466,0.17,3.632,1.475,0.686,0.664,0.633,0.685,0.683,0.65,0.687,0.649,0.272,0.0,0.008,0.003,0.002,0.0,0.001,0.002,0.002,0.0,0.011,0.016,0.011,0.195,0.001,0.055,0.029,0.055,0.053,0.019,0.0,0.018,0.026,0.019,0.026,0.018,0.615,0.018
6000,1.0,0.003,3.466,0.172,3.635,1.473,0.686,0.664,0.631,0.685,0.683,0.649,0.687,0.649,0.272,0.0,0.008,0.003,0.002,0.0,0.001,0.002,0.002,0.0,0.011,0.016,0.011,0.194,0.001,0.055,0.029,0.055,0.053,0.019,0.0,0.018,0.026,0.019,0.026,0.018,0.614,0.018
6100,1.0,0.003,3.466,0.175,3.637,1.471,0.686,0.664,0.63,0.685,0.683,0.649,0.687,0.649,0.272,0.0,0.008,0.003,0.002,0.0,0.001,0.001,0.002,0.0,0.011,0.016,0.011,0.193,0.001,0.056,0.029,0.055,0.053,0.019,0.0,0.018,0.026,0.019,0.026,0.018,0.613,0.018
6200,0.999,0.003,3.466,0.177,3.64,1.469,0.686,0.664,0.628,0.685,0.683,0.649,0.687,0.648,0.272,0.0,0.008,0.002,0.002,0.0,0.001,0.001,0.002,0.0,0.011,0.016,0.011,0.192,0.001,0.056,0.028,0.056,0.053,0.019,0.0,0.018,0.026,0.019,0.026,0.018,0.613,0.018
6300,1.0,0.003,3.466,0.18,3.643,1.467,0.686,0.664,0.626,0.685,0.683,0.648,0.687,0.648,0.272,0.0,0.008,0.002,0.002,0.0,0.001,0.001,0.002,0.0,0.011,0.016,0.011,0.191,0.001,0.056,0.028,0.056,0.053,0.019,0.0,0.018,0.026,0.019,0.026,0.018,0.612,0.018
6400,1.0,0.003,3.466,0.183,3.646,1.465,0.686,0.664,0.624,0.685,0.683,0.648,0.687,0.648,0.272,0.0,0.008,0.002,0.002,0.0,0.002,0.001,0.002,0.0,0.011,0.016,0.011,0.189,0.001,0.057,0.027,0.057,0.053,0.019,0.0,0.018,0.026,0.019,0.026,0.018,0.612,0.018
6500,1.0,0.003,3.466,0.186,3.649,1.462,0.686,0.664,0.621,0.685,0.683,0.648,0.687,0.648,0.271,0.0,0.008,0.002,0.002,0.0,0.002,0.001,0.002,0.0,0.011,0.016,0.011,0.187,0.001,0.058,0.026,0.057,0.053,0.019,0.0,0.018,0.026,0.019,0.026,0.018,0.611,0.018
6600,1.0,0.003,3.466,0.19,3.652,1.46,0.686,0.663,0.619,0.685,0.683,0.648,0.687,0.647,0.271,0.0,0.008,0.002,0.002,0.0,0.002,0.001,0.002,0.0,0.01,0.016,0.011,0.184,0.001,0.059,0.025,0.059,0.053,0.018,0.0,0.018,0.026,0.019,0.026,0.018,0.611,0.018
6700,1.0,0.003,3.466,0.193,3.655,1.457,0.686,0.663,0.616,0.686,0.683,0.647,0.687,0.647,0.271,0.001,0.008,0.002,0.002,0.0,0.002,0.001,0.001,0.0,0.01,0.016,0.011,0.18,0.001,0.06,0.024,0.06,0.053,0.018,0.0,0.018,0.026,0.019,0.026,0.018,0.61,0.018
6800,1.0,0.003,3.466,0.195,3.658,1.453,0.686,0.663,0.615,0.686,0.683,0.647,0.687,0.647,0.271,0.001,0.008,0.002,0.002,0.0,0.002,0.0,0.001,0.0,0.01,0.016,0.01,0.175,0.0,0.063,0.022,0.063,0.053,0.018,0.0,0.018,0.026,0.019,0.026,0.018,0.61,0.018
6900,1.0,0.003,3.466,0.196,3.658,1.45,0.686,0.663,0.615,0.686,0.683,0.647,0.687,0.647,0.271,0.001,0.008,0.002,0.002,0.0,0.002,0.0,0.001,0.0,0.01,0.016,0.01,0.169,0.0,0.065,0.02,0.065,0.053,0.018,0.0,0.018,0.026,0.019,0.026,0.018,0.61,0.018
