Epochs,Acc,H[G|U],H[Z],H[U|G],H[U],sumI[A:A],I[A_0:Z],I[A_1:Z],I[A_2:Z],I[A_3:Z],I[A0:A1],I[A0:A2],I[A0:A3],I[A1:A2],I[A1:A3],I[A2:A3]
3900,0.805,0.351,4.703,0.022,4.523,0.781,1.368,1.367,1.371,1.37,0.177,0.078,0.128,0.172,0.083,0.143
4000,0.805,0.351,4.614,0.023,4.523,0.781,1.368,1.367,1.371,1.37,0.177,0.078,0.128,0.172,0.083,0.143
4100,0.805,0.351,4.592,0.023,4.524,0.781,1.368,1.367,1.371,1.37,0.177,0.078,0.128,0.172,0.083,0.143
4200,0.804,0.351,4.601,0.023,4.524,0.781,1.368,1.367,1.37,1.37,0.177,0.078,0.128,0.172,0.083,0.143
4300,0.805,0.351,4.645,0.023,4.524,0.781,1.368,1.367,1.37,1.37,0.177,0.078,0.128,0.172,0.083,0.143
4400,0.805,0.351,4.614,0.023,4.524,0.781,1.368,1.367,1.37,1.37,0.177,0.078,0.128,0.171,0.083,0.143
4500,0.804,0.351,4.556,0.023,4.524,0.781,1.368,1.367,1.37,1.37,0.177,0.078,0.128,0.171,0.083,0.143
4600,0.805,0.351,4.621,0.023,4.524,0.781,1.368,1.367,1.37,1.37,0.177,0.078,0.128,0.171,0.083,0.143
4700,0.812,0.34,4.794,0.026,4.538,0.744,1.368,1.367,1.37,1.37,0.16,0.069,0.118,0.171,0.083,0.143
4800,0.813,0.34,4.755,0.023,4.535,0.745,1.37,1.367,1.37,1.37,0.161,0.069,0.118,0.171,0.083,0.143
4900,0.82,0.317,4.82,0.023,4.559,0.718,1.372,1.367,1.371,1.37,0.148,0.061,0.111,0.171,0.083,0.143
5000,0.82,0.317,4.637,0.023,4.558,0.718,1.373,1.367,1.371,1.37,0.149,0.061,0.111,0.171,0.083,0.143
5100,0.82,0.317,4.616,0.023,4.558,0.718,1.373,1.367,1.371,1.37,0.149,0.061,0.111,0.171,0.083,0.143
5200,0.82,0.317,4.605,0.023,4.558,0.718,1.373,1.366,1.37,1.37,0.149,0.061,0.111,0.171,0.083,0.143
5300,0.828,0.306,4.659,0.022,4.568,0.691,1.373,1.37,1.371,1.371,0.138,0.061,0.111,0.163,0.075,0.143
5400,0.828,0.306,4.629,0.022,4.568,0.691,1.373,1.37,1.371,1.371,0.138,0.061,0.111,0.163,0.075,0.143
5500,0.828,0.306,4.612,0.022,4.568,0.691,1.373,1.37,1.371,1.371,0.138,0.061,0.111,0.163,0.075,0.143
5600,0.828,0.306,4.605,0.022,4.568,0.691,1.373,1.37,1.371,1.371,0.138,0.061,0.111,0.163,0.075,0.143
5700,0.828,0.306,4.594,0.022,4.568,0.691,1.373,1.37,1.371,1.371,0.138,0.061,0.111,0.163,0.075,0.143
5800,0.828,0.306,4.568,0.022,4.569,0.691,1.373,1.37,1.371,1.371,0.138,0.061,0.111,0.163,0.075,0.143
5900,0.836,0.291,4.753,0.023,4.584,0.661,1.373,1.37,1.372,1.371,0.138,0.056,0.111,0.149,0.075,0.132
6000,0.836,0.291,4.659,0.023,4.584,0.661,1.373,1.369,1.373,1.371,0.138,0.056,0.111,0.149,0.075,0.132
6100,0.836,0.291,4.579,0.023,4.584,0.661,1.373,1.369,1.373,1.371,0.138,0.056,0.111,0.149,0.075,0.132
6200,0.835,0.291,4.601,0.023,4.584,0.661,1.373,1.369,1.373,1.371,0.138,0.056,0.111,0.149,0.075,0.132
6300,0.835,0.291,4.579,0.023,4.584,0.661,1.373,1.369,1.373,1.371,0.138,0.056,0.111,0.149,0.075,0.132
6400,0.836,0.291,4.579,0.023,4.584,0.661,1.373,1.369,1.373,1.371,0.138,0.056,0.111,0.149,0.075,0.132
6500,0.836,0.291,4.579,0.023,4.584,0.661,1.373,1.369,1.373,1.371,0.138,0.056,0.111,0.149,0.075,0.132
6600,0.836,0.291,4.579,0.023,4.584,0.661,1.373,1.369,1.373,1.371,0.138,0.056,0.111,0.149,0.075,0.132
6700,0.836,0.291,4.583,0.023,4.584,0.661,1.373,1.369,1.373,1.371,0.138,0.056,0.111,0.149,0.075,0.132
6800,0.836,0.291,4.601,0.023,4.584,0.661,1.373,1.369,1.373,1.371,0.138,0.056,0.111,0.149,0.075,0.132
6900,0.836,0.291,4.568,0.023,4.584,0.661,1.373,1.369,1.373,1.371,0.138,0.056,0.111,0.149,0.075,0.132
