Epochs,Acc,H[G|U],H[Z],H[U|G],H[U],sumI[A:A],I[A_0:Z],I[A_1:Z],I[A_2:Z],I[A_3:Z],I[A0:A1],I[A0:A2],I[A0:A3],I[A1:A2],I[A1:A3],I[A2:A3]
2500,0.463,1.181,4.852,0.058,3.729,2.189,1.362,1.341,1.36,1.351,0.452,0.348,0.252,0.361,0.374,0.402
2600,0.474,1.152,4.852,0.055,3.755,2.138,1.361,1.342,1.368,1.348,0.451,0.336,0.245,0.352,0.365,0.388
2700,0.484,1.12,4.852,0.051,3.783,2.085,1.364,1.341,1.367,1.356,0.434,0.319,0.24,0.35,0.359,0.383
2800,0.509,1.052,4.852,0.054,3.855,2.006,1.361,1.345,1.369,1.36,0.405,0.312,0.226,0.344,0.348,0.371
2900,0.523,1.006,4.852,0.051,3.898,1.939,1.368,1.345,1.37,1.361,0.377,0.308,0.205,0.334,0.345,0.371
3000,0.523,1.004,4.852,0.046,3.894,1.94,1.369,1.347,1.37,1.362,0.378,0.308,0.205,0.334,0.345,0.371
3100,0.524,1.003,4.852,0.045,3.894,1.94,1.369,1.348,1.37,1.362,0.377,0.308,0.205,0.334,0.345,0.371
3200,0.539,0.965,4.852,0.049,3.936,1.843,1.369,1.352,1.369,1.358,0.368,0.298,0.197,0.325,0.305,0.351
3300,0.549,0.947,4.852,0.049,3.953,1.836,1.365,1.353,1.37,1.356,0.366,0.294,0.198,0.327,0.31,0.342
3400,0.555,0.934,4.852,0.042,3.96,1.811,1.371,1.353,1.371,1.357,0.359,0.289,0.185,0.327,0.31,0.342
3500,0.563,0.914,4.841,0.045,3.983,1.764,1.371,1.353,1.37,1.356,0.359,0.281,0.184,0.3,0.31,0.33
3600,0.57,0.891,4.815,0.044,4.005,1.724,1.371,1.353,1.371,1.356,0.359,0.272,0.184,0.279,0.309,0.321
3700,0.57,0.889,4.772,0.038,4.001,1.725,1.371,1.355,1.374,1.357,0.359,0.272,0.184,0.279,0.31,0.321
3800,0.571,0.888,4.83,0.037,4.001,1.725,1.371,1.355,1.374,1.356,0.36,0.272,0.184,0.279,0.31,0.321
3900,0.571,0.888,4.809,0.038,4.001,1.725,1.371,1.355,1.374,1.356,0.36,0.272,0.184,0.278,0.31,0.321
4000,0.594,0.829,4.805,0.042,4.065,1.635,1.372,1.357,1.374,1.355,0.34,0.261,0.176,0.251,0.299,0.308
4100,0.601,0.817,4.787,0.039,4.075,1.615,1.374,1.356,1.374,1.355,0.336,0.262,0.175,0.249,0.285,0.308
4200,0.602,0.815,4.695,0.037,4.074,1.614,1.374,1.358,1.375,1.356,0.336,0.262,0.176,0.249,0.285,0.308
4300,0.609,0.804,4.623,0.035,4.083,1.594,1.374,1.357,1.375,1.355,0.33,0.261,0.175,0.232,0.288,0.308
4400,0.609,0.804,4.623,0.035,4.083,1.594,1.374,1.357,1.375,1.355,0.33,0.261,0.175,0.231,0.288,0.308
4500,0.609,0.804,4.608,0.035,4.083,1.594,1.374,1.357,1.375,1.355,0.33,0.261,0.175,0.231,0.288,0.307
4600,0.609,0.804,4.603,0.035,4.083,1.593,1.374,1.358,1.375,1.355,0.33,0.261,0.175,0.231,0.288,0.307
4700,0.609,0.804,4.447,0.035,4.083,1.593,1.374,1.358,1.375,1.355,0.33,0.261,0.175,0.231,0.288,0.307
4800,0.609,0.804,4.418,0.035,4.084,1.593,1.374,1.358,1.375,1.354,0.33,0.261,0.175,0.231,0.288,0.307
4900,0.61,0.804,4.399,0.035,4.084,1.592,1.374,1.358,1.375,1.354,0.33,0.261,0.175,0.231,0.288,0.307
5000,0.61,0.803,4.355,0.035,4.084,1.592,1.374,1.358,1.375,1.354,0.33,0.261,0.175,0.231,0.288,0.307
5100,0.617,0.783,4.526,0.043,4.112,1.556,1.373,1.355,1.374,1.352,0.325,0.261,0.175,0.214,0.275,0.307
5200,0.625,0.771,4.435,0.039,4.12,1.529,1.374,1.358,1.375,1.353,0.299,0.261,0.175,0.215,0.272,0.307
5300,0.633,0.759,4.526,0.035,4.128,1.518,1.374,1.359,1.375,1.358,0.297,0.261,0.184,0.214,0.261,0.3
5400,0.641,0.742,4.341,0.034,4.144,1.472,1.373,1.358,1.375,1.358,0.271,0.26,0.184,0.205,0.251,0.3
5500,0.64,0.742,4.39,0.034,4.144,1.472,1.373,1.358,1.375,1.357,0.27,0.26,0.184,0.205,0.251,0.3
5600,0.641,0.741,4.269,0.034,4.144,1.471,1.373,1.358,1.375,1.357,0.27,0.26,0.184,0.205,0.251,0.3
5700,0.641,0.741,4.364,0.034,4.145,1.471,1.373,1.358,1.375,1.357,0.27,0.26,0.185,0.205,0.251,0.3
5800,0.648,0.724,4.385,0.035,4.163,1.436,1.373,1.358,1.374,1.357,0.254,0.26,0.185,0.19,0.248,0.3
5900,0.657,0.702,4.504,0.034,4.183,1.413,1.374,1.358,1.372,1.357,0.254,0.257,0.185,0.19,0.248,0.279
6000,0.656,0.703,4.379,0.034,4.183,1.412,1.374,1.358,1.372,1.357,0.254,0.257,0.185,0.19,0.248,0.279
6100,0.656,0.703,4.354,0.034,4.183,1.412,1.374,1.359,1.372,1.357,0.254,0.257,0.185,0.19,0.248,0.279
6200,0.656,0.702,4.363,0.034,4.183,1.412,1.373,1.359,1.372,1.357,0.254,0.256,0.185,0.19,0.248,0.279
6300,0.664,0.688,4.459,0.035,4.2,1.372,1.373,1.359,1.372,1.357,0.243,0.241,0.171,0.19,0.248,0.278
6400,0.671,0.678,4.309,0.039,4.213,1.335,1.374,1.358,1.369,1.355,0.243,0.233,0.171,0.175,0.247,0.265
6500,0.672,0.677,4.379,0.034,4.209,1.336,1.374,1.359,1.371,1.356,0.243,0.233,0.171,0.174,0.248,0.266
6600,0.672,0.677,4.311,0.034,4.209,1.336,1.374,1.359,1.371,1.356,0.243,0.233,0.171,0.174,0.248,0.266
6700,0.672,0.677,4.279,0.034,4.209,1.336,1.374,1.359,1.371,1.356,0.243,0.233,0.171,0.174,0.248,0.266
6800,0.672,0.677,4.381,0.034,4.209,1.335,1.374,1.359,1.371,1.356,0.243,0.233,0.171,0.174,0.248,0.266
6900,0.672,0.677,4.304,0.034,4.209,1.335,1.374,1.359,1.371,1.356,0.243,0.233,0.171,0.174,0.248,0.265
