Epochs,Acc,H[G|U],H[Z],H[U|G],H[U],sumI[A:A],I[A_0:Z],I[A_1:Z],I[A_2:Z],I[A_3:Z],I[A0:A1],I[A0:A2],I[A0:A3],I[A1:A2],I[A1:A3],I[A2:A3]
5000,1.0,0.003,3.466,0.362,3.825,0.769,1.367,1.002,1.331,1.254,0.134,0.039,0.081,0.259,0.185,0.07
5100,1.0,0.003,3.466,0.369,3.832,0.772,1.367,0.991,1.332,1.254,0.145,0.04,0.081,0.259,0.177,0.071
5200,1.0,0.003,3.466,0.363,3.826,0.768,1.367,0.987,1.333,1.254,0.152,0.04,0.081,0.264,0.161,0.071
5300,1.0,0.003,3.466,0.343,3.806,0.754,1.367,0.987,1.334,1.254,0.143,0.04,0.081,0.277,0.142,0.071
5400,1.0,0.003,3.466,0.306,3.769,0.755,1.367,0.999,1.335,1.254,0.13,0.04,0.081,0.309,0.124,0.071
5500,1.0,0.003,3.466,0.284,3.747,0.761,1.367,1.014,1.334,1.254,0.121,0.04,0.081,0.333,0.115,0.071
5600,1.0,0.003,3.466,0.277,3.74,0.765,1.367,1.022,1.334,1.254,0.112,0.04,0.081,0.353,0.108,0.071
5700,1.0,0.003,3.466,0.266,3.729,0.78,1.367,1.037,1.333,1.254,0.102,0.04,0.081,0.386,0.102,0.07
5800,1.0,0.003,3.466,0.243,3.706,0.827,1.367,1.07,1.332,1.254,0.097,0.04,0.081,0.439,0.1,0.07
5900,1.0,0.003,3.466,0.199,3.661,0.952,1.367,1.141,1.33,1.254,0.109,0.04,0.081,0.542,0.11,0.07
6000,1.0,0.003,3.466,0.172,3.635,0.981,1.367,1.171,1.328,1.254,0.112,0.04,0.081,0.567,0.11,0.07
6100,1.0,0.003,3.466,0.158,3.621,0.994,1.367,1.189,1.326,1.254,0.113,0.039,0.081,0.58,0.111,0.07
6200,1.0,0.003,3.466,0.148,3.611,1.002,1.366,1.201,1.323,1.254,0.114,0.039,0.081,0.587,0.111,0.07
6300,1.0,0.003,3.466,0.142,3.605,1.008,1.366,1.211,1.321,1.254,0.115,0.039,0.081,0.593,0.111,0.069
6400,1.0,0.003,3.466,0.137,3.6,1.013,1.366,1.218,1.318,1.253,0.115,0.039,0.081,0.597,0.111,0.069
6500,1.0,0.003,3.466,0.133,3.596,1.016,1.366,1.224,1.316,1.253,0.115,0.039,0.081,0.6,0.111,0.069
6600,1.0,0.003,3.466,0.131,3.594,1.019,1.366,1.229,1.314,1.253,0.116,0.039,0.081,0.603,0.111,0.069
6700,1.0,0.003,3.466,0.129,3.592,1.021,1.366,1.232,1.313,1.253,0.116,0.039,0.081,0.604,0.111,0.069
6800,1.0,0.003,3.466,0.128,3.591,1.022,1.366,1.235,1.311,1.253,0.116,0.039,0.081,0.606,0.112,0.069
6900,1.0,0.003,3.466,0.127,3.59,1.023,1.366,1.237,1.31,1.253,0.116,0.039,0.081,0.607,0.112,0.069
