Epochs,Acc,H[G|U],H[Z],H[U|G],H[U],sumI[A:A],I[A_0:Z],I[A_1:Z],I[A_2:Z],I[A_3:Z],I[A_4:Z],I[A_5:Z],I[A_6:Z],I[A_7:Z],I[A0:A1],I[A0:A2],I[A0:A3],I[A0:A4],I[A0:A5],I[A0:A6],I[A0:A7],I[A1:A2],I[A1:A3],I[A1:A4],I[A1:A5],I[A1:A6],I[A1:A7],I[A2:A3],I[A2:A4],I[A2:A5],I[A2:A6],I[A2:A7],I[A3:A4],I[A3:A5],I[A3:A6],I[A3:A7],I[A4:A5],I[A4:A6],I[A4:A7],I[A5:A6],I[A5:A7],I[A6:A7]
2200,0.82,0.317,4.852,0.057,4.592,0.542,0.685,0.683,0.681,0.687,0.681,0.687,0.686,0.685,0.001,0.004,0.002,0.046,0.005,0.049,0.006,0.001,0.014,0.001,0.021,0.015,0.002,0.008,0.0,0.012,0.0,0.09,0.001,0.071,0.002,0.021,0.065,0.035,0.008,0.024,0.015,0.021
2300,0.819,0.315,4.852,0.054,4.591,0.542,0.685,0.684,0.682,0.688,0.682,0.687,0.687,0.686,0.001,0.004,0.002,0.046,0.005,0.049,0.006,0.001,0.014,0.001,0.021,0.015,0.002,0.008,0.0,0.012,0.0,0.09,0.001,0.071,0.002,0.021,0.065,0.035,0.008,0.024,0.015,0.021
2400,0.82,0.314,4.852,0.052,4.59,0.542,0.686,0.684,0.682,0.688,0.682,0.687,0.687,0.686,0.001,0.004,0.002,0.046,0.005,0.049,0.006,0.001,0.014,0.001,0.021,0.015,0.002,0.008,0.0,0.012,0.0,0.09,0.001,0.071,0.002,0.021,0.065,0.035,0.008,0.024,0.015,0.021
2500,0.82,0.314,4.852,0.052,4.59,0.542,0.686,0.684,0.682,0.687,0.683,0.687,0.687,0.686,0.001,0.004,0.002,0.046,0.005,0.049,0.006,0.001,0.014,0.001,0.021,0.015,0.002,0.008,0.0,0.012,0.0,0.09,0.001,0.071,0.002,0.021,0.065,0.035,0.008,0.024,0.015,0.021
2600,0.828,0.303,4.852,0.051,4.6,0.539,0.686,0.684,0.683,0.687,0.683,0.687,0.687,0.686,0.001,0.004,0.001,0.046,0.005,0.049,0.006,0.001,0.011,0.001,0.021,0.015,0.002,0.011,0.0,0.012,0.0,0.09,0.002,0.065,0.001,0.025,0.065,0.035,0.008,0.024,0.015,0.021
2700,0.828,0.303,4.852,0.05,4.599,0.539,0.686,0.684,0.683,0.687,0.683,0.687,0.687,0.686,0.001,0.004,0.001,0.046,0.005,0.049,0.006,0.001,0.011,0.001,0.021,0.015,0.002,0.011,0.0,0.012,0.0,0.09,0.002,0.065,0.001,0.025,0.065,0.035,0.008,0.024,0.015,0.021
2800,0.828,0.302,4.852,0.049,4.599,0.539,0.686,0.684,0.683,0.687,0.683,0.687,0.688,0.685,0.001,0.004,0.001,0.046,0.005,0.049,0.006,0.001,0.011,0.001,0.021,0.015,0.002,0.011,0.0,0.012,0.0,0.09,0.002,0.065,0.001,0.025,0.065,0.035,0.008,0.024,0.015,0.021
2900,0.828,0.302,4.852,0.049,4.598,0.538,0.686,0.684,0.683,0.687,0.684,0.687,0.688,0.685,0.001,0.004,0.001,0.046,0.005,0.049,0.006,0.001,0.011,0.001,0.021,0.016,0.002,0.011,0.0,0.012,0.0,0.09,0.002,0.065,0.001,0.024,0.065,0.035,0.008,0.024,0.015,0.021
3000,0.836,0.292,4.852,0.048,4.608,0.534,0.687,0.684,0.684,0.687,0.684,0.687,0.688,0.686,0.001,0.004,0.001,0.045,0.005,0.049,0.004,0.001,0.011,0.001,0.021,0.015,0.001,0.011,0.0,0.012,0.0,0.084,0.002,0.065,0.001,0.021,0.065,0.035,0.01,0.024,0.018,0.024
3100,0.843,0.271,4.852,0.048,4.629,0.51,0.687,0.684,0.684,0.687,0.684,0.687,0.688,0.686,0.001,0.004,0.001,0.046,0.003,0.049,0.004,0.001,0.011,0.001,0.018,0.016,0.001,0.011,0.0,0.01,0.0,0.084,0.002,0.06,0.001,0.021,0.059,0.035,0.01,0.021,0.015,0.024
3200,0.843,0.27,4.852,0.047,4.629,0.51,0.687,0.684,0.684,0.687,0.684,0.687,0.688,0.686,0.001,0.004,0.001,0.045,0.003,0.049,0.004,0.001,0.011,0.001,0.018,0.016,0.001,0.011,0.0,0.01,0.0,0.084,0.002,0.06,0.001,0.021,0.059,0.035,0.01,0.021,0.015,0.024
3300,0.85,0.26,4.852,0.056,4.648,0.496,0.687,0.684,0.684,0.687,0.684,0.677,0.688,0.686,0.001,0.004,0.001,0.045,0.002,0.049,0.004,0.001,0.011,0.001,0.015,0.016,0.001,0.011,0.0,0.008,0.0,0.084,0.002,0.063,0.001,0.021,0.054,0.035,0.01,0.018,0.012,0.024
3400,0.866,0.229,4.852,0.047,4.669,0.461,0.687,0.684,0.685,0.687,0.684,0.685,0.688,0.686,0.001,0.004,0.001,0.045,0.001,0.049,0.004,0.001,0.011,0.001,0.014,0.016,0.001,0.011,0.0,0.004,0.0,0.084,0.002,0.053,0.001,0.021,0.045,0.035,0.01,0.012,0.008,0.024
3500,0.875,0.212,4.841,0.045,4.686,0.449,0.687,0.684,0.685,0.687,0.685,0.685,0.688,0.686,0.001,0.004,0.001,0.045,0.0,0.049,0.004,0.001,0.011,0.001,0.011,0.016,0.001,0.01,0.0,0.006,0.0,0.084,0.002,0.048,0.001,0.021,0.04,0.035,0.01,0.01,0.01,0.024
3600,0.874,0.211,4.852,0.045,4.685,0.449,0.688,0.684,0.685,0.687,0.685,0.685,0.688,0.686,0.001,0.004,0.001,0.045,0.0,0.049,0.004,0.001,0.011,0.001,0.011,0.016,0.001,0.01,0.0,0.006,0.0,0.084,0.002,0.048,0.001,0.021,0.04,0.035,0.01,0.01,0.01,0.024
3700,0.875,0.211,4.852,0.045,4.686,0.449,0.688,0.684,0.685,0.687,0.685,0.685,0.687,0.686,0.001,0.004,0.001,0.045,0.0,0.049,0.004,0.001,0.011,0.001,0.011,0.016,0.001,0.01,0.0,0.006,0.0,0.084,0.002,0.048,0.001,0.021,0.04,0.035,0.01,0.01,0.01,0.024
3800,0.89,0.185,4.852,0.043,4.71,0.44,0.688,0.684,0.686,0.687,0.685,0.685,0.688,0.686,0.001,0.006,0.001,0.045,0.0,0.045,0.004,0.001,0.011,0.001,0.011,0.013,0.001,0.008,0.001,0.007,0.0,0.077,0.002,0.048,0.0,0.021,0.04,0.039,0.01,0.013,0.01,0.021
3900,0.89,0.185,4.852,0.043,4.71,0.44,0.688,0.684,0.686,0.687,0.685,0.685,0.688,0.686,0.001,0.006,0.001,0.045,0.0,0.045,0.004,0.001,0.011,0.001,0.011,0.013,0.001,0.008,0.001,0.007,0.0,0.077,0.002,0.048,0.0,0.021,0.04,0.039,0.01,0.013,0.01,0.021
4000,0.89,0.185,4.852,0.043,4.71,0.44,0.688,0.684,0.686,0.687,0.685,0.685,0.688,0.686,0.001,0.006,0.001,0.045,0.0,0.045,0.004,0.001,0.011,0.001,0.011,0.013,0.001,0.008,0.001,0.007,0.0,0.077,0.002,0.048,0.0,0.021,0.04,0.039,0.01,0.013,0.01,0.021
4100,0.89,0.185,4.841,0.043,4.71,0.439,0.688,0.684,0.686,0.687,0.685,0.685,0.688,0.686,0.001,0.006,0.001,0.045,0.0,0.045,0.004,0.001,0.011,0.001,0.011,0.013,0.001,0.008,0.001,0.007,0.0,0.077,0.002,0.048,0.0,0.021,0.04,0.039,0.01,0.013,0.01,0.021
4200,0.905,0.159,4.841,0.042,4.735,0.408,0.688,0.684,0.687,0.687,0.685,0.685,0.687,0.686,0.001,0.006,0.001,0.045,0.0,0.041,0.006,0.001,0.011,0.001,0.011,0.011,0.0,0.008,0.001,0.007,0.001,0.071,0.002,0.048,0.0,0.018,0.04,0.035,0.008,0.01,0.008,0.015
4300,0.906,0.159,4.852,0.042,4.735,0.408,0.688,0.685,0.687,0.687,0.685,0.685,0.687,0.686,0.001,0.006,0.001,0.045,0.0,0.041,0.006,0.001,0.012,0.001,0.011,0.011,0.0,0.008,0.001,0.007,0.001,0.071,0.002,0.048,0.0,0.018,0.04,0.035,0.008,0.01,0.008,0.015
4400,0.906,0.159,4.852,0.043,4.736,0.407,0.687,0.685,0.687,0.687,0.685,0.685,0.687,0.686,0.001,0.006,0.001,0.045,0.0,0.04,0.006,0.001,0.012,0.001,0.011,0.011,0.0,0.008,0.001,0.007,0.001,0.071,0.002,0.048,0.0,0.018,0.04,0.035,0.008,0.01,0.008,0.015
4500,0.913,0.148,4.841,0.042,4.746,0.4,0.688,0.685,0.687,0.687,0.686,0.685,0.687,0.686,0.002,0.008,0.001,0.041,0.0,0.036,0.004,0.001,0.012,0.001,0.011,0.011,0.0,0.008,0.001,0.007,0.001,0.071,0.002,0.048,0.0,0.018,0.04,0.035,0.008,0.01,0.008,0.015
4600,0.921,0.137,4.809,0.042,4.757,0.386,0.688,0.685,0.687,0.687,0.686,0.685,0.687,0.685,0.002,0.008,0.001,0.041,0.0,0.036,0.006,0.001,0.012,0.001,0.011,0.011,0.0,0.008,0.001,0.007,0.001,0.065,0.002,0.048,0.0,0.015,0.04,0.035,0.006,0.01,0.006,0.012
4700,0.922,0.137,4.83,0.043,4.758,0.385,0.688,0.685,0.687,0.687,0.686,0.685,0.687,0.685,0.002,0.008,0.001,0.041,0.0,0.036,0.006,0.001,0.012,0.001,0.011,0.011,0.0,0.008,0.001,0.007,0.001,0.065,0.002,0.048,0.0,0.015,0.04,0.035,0.006,0.01,0.006,0.012
4800,0.922,0.137,4.789,0.043,4.758,0.385,0.688,0.685,0.687,0.687,0.686,0.685,0.687,0.685,0.002,0.008,0.001,0.041,0.0,0.036,0.006,0.001,0.012,0.001,0.011,0.011,0.0,0.008,0.001,0.007,0.001,0.065,0.002,0.048,0.0,0.015,0.04,0.035,0.006,0.01,0.006,0.012
4900,0.929,0.126,4.798,0.044,4.77,0.37,0.687,0.685,0.687,0.687,0.685,0.684,0.687,0.685,0.002,0.008,0.001,0.036,0.0,0.036,0.006,0.001,0.012,0.0,0.011,0.011,0.0,0.008,0.001,0.007,0.001,0.065,0.001,0.048,0.0,0.015,0.036,0.031,0.005,0.01,0.006,0.012
5000,0.929,0.126,4.826,0.044,4.77,0.37,0.688,0.685,0.687,0.687,0.685,0.684,0.687,0.685,0.002,0.008,0.001,0.036,0.0,0.036,0.006,0.001,0.012,0.0,0.011,0.011,0.0,0.008,0.001,0.007,0.001,0.065,0.001,0.048,0.0,0.015,0.036,0.031,0.005,0.01,0.006,0.012
5100,0.937,0.106,4.809,0.044,4.79,0.355,0.688,0.685,0.687,0.687,0.684,0.684,0.687,0.685,0.002,0.008,0.001,0.032,0.0,0.036,0.006,0.001,0.012,0.0,0.011,0.011,0.0,0.008,0.001,0.007,0.001,0.065,0.001,0.048,0.0,0.015,0.032,0.027,0.003,0.01,0.006,0.012
5200,0.945,0.096,4.805,0.045,4.801,0.349,0.687,0.685,0.686,0.687,0.684,0.684,0.687,0.685,0.003,0.006,0.0,0.029,0.001,0.033,0.008,0.001,0.012,0.0,0.011,0.011,0.0,0.008,0.001,0.007,0.001,0.065,0.001,0.048,0.0,0.015,0.032,0.027,0.003,0.01,0.006,0.012
5300,0.945,0.095,4.805,0.045,4.802,0.348,0.687,0.685,0.686,0.687,0.684,0.683,0.687,0.684,0.003,0.006,0.0,0.029,0.001,0.033,0.008,0.001,0.012,0.0,0.011,0.011,0.0,0.008,0.001,0.007,0.001,0.065,0.001,0.048,0.0,0.015,0.032,0.027,0.003,0.01,0.006,0.012
5400,0.945,0.095,4.798,0.046,4.803,0.348,0.687,0.685,0.686,0.687,0.684,0.683,0.686,0.684,0.003,0.006,0.0,0.029,0.001,0.032,0.008,0.001,0.012,0.0,0.011,0.011,0.0,0.008,0.001,0.007,0.001,0.065,0.001,0.048,0.0,0.015,0.032,0.026,0.003,0.01,0.006,0.012
5500,0.945,0.095,4.787,0.046,4.803,0.348,0.687,0.685,0.686,0.686,0.684,0.683,0.686,0.684,0.003,0.006,0.0,0.029,0.001,0.032,0.008,0.001,0.012,0.0,0.011,0.011,0.0,0.008,0.001,0.007,0.001,0.065,0.001,0.048,0.0,0.015,0.032,0.026,0.003,0.01,0.006,0.012
5600,0.945,0.095,4.815,0.047,4.804,0.347,0.687,0.685,0.686,0.686,0.684,0.682,0.686,0.684,0.003,0.006,0.0,0.029,0.001,0.032,0.008,0.001,0.012,0.0,0.011,0.011,0.0,0.008,0.001,0.007,0.001,0.064,0.001,0.047,0.0,0.015,0.032,0.026,0.003,0.01,0.006,0.012
5700,0.945,0.095,4.794,0.048,4.805,0.347,0.687,0.685,0.686,0.686,0.684,0.682,0.686,0.684,0.003,0.006,0.0,0.029,0.001,0.032,0.008,0.001,0.012,0.0,0.011,0.011,0.0,0.008,0.001,0.007,0.001,0.064,0.001,0.047,0.0,0.015,0.032,0.026,0.003,0.01,0.006,0.012
5800,0.945,0.095,4.798,0.048,4.805,0.347,0.687,0.685,0.686,0.686,0.684,0.681,0.686,0.684,0.003,0.006,0.0,0.029,0.001,0.032,0.008,0.001,0.012,0.0,0.011,0.011,0.0,0.008,0.001,0.007,0.001,0.064,0.001,0.047,0.0,0.015,0.032,0.026,0.003,0.01,0.006,0.012
5900,0.945,0.095,4.776,0.049,4.806,0.346,0.687,0.685,0.686,0.686,0.684,0.681,0.686,0.684,0.003,0.006,0.0,0.029,0.001,0.032,0.008,0.001,0.012,0.0,0.011,0.011,0.0,0.008,0.001,0.007,0.001,0.064,0.001,0.047,0.0,0.015,0.032,0.026,0.003,0.01,0.006,0.012
6000,0.945,0.095,4.765,0.05,4.807,0.346,0.687,0.685,0.686,0.686,0.684,0.68,0.686,0.684,0.003,0.006,0.0,0.029,0.001,0.032,0.008,0.001,0.012,0.0,0.011,0.011,0.0,0.008,0.001,0.007,0.001,0.064,0.001,0.047,0.0,0.015,0.032,0.026,0.003,0.01,0.005,0.012
6100,0.945,0.095,4.765,0.051,4.808,0.346,0.686,0.685,0.686,0.686,0.684,0.68,0.686,0.684,0.003,0.006,0.0,0.029,0.001,0.032,0.008,0.001,0.012,0.0,0.011,0.011,0.0,0.008,0.001,0.007,0.001,0.064,0.001,0.047,0.0,0.015,0.031,0.026,0.003,0.01,0.005,0.012
6200,0.945,0.095,4.765,0.053,4.81,0.345,0.686,0.685,0.686,0.686,0.684,0.678,0.686,0.684,0.003,0.006,0.0,0.029,0.001,0.032,0.008,0.001,0.012,0.0,0.012,0.011,0.0,0.008,0.001,0.007,0.001,0.064,0.001,0.046,0.0,0.015,0.031,0.026,0.003,0.01,0.005,0.012
6300,0.945,0.095,4.765,0.055,4.812,0.341,0.686,0.685,0.686,0.686,0.684,0.676,0.686,0.684,0.003,0.005,0.0,0.029,0.002,0.032,0.008,0.001,0.012,0.0,0.013,0.011,0.0,0.008,0.001,0.008,0.001,0.064,0.001,0.044,0.0,0.015,0.029,0.026,0.003,0.009,0.004,0.012
6400,0.945,0.095,4.765,0.052,4.809,0.338,0.686,0.685,0.686,0.686,0.684,0.679,0.686,0.684,0.003,0.005,0.0,0.029,0.002,0.032,0.008,0.001,0.012,0.0,0.013,0.011,0.0,0.008,0.001,0.009,0.001,0.064,0.001,0.042,0.0,0.015,0.028,0.026,0.003,0.009,0.004,0.012
6500,0.945,0.095,4.776,0.052,4.809,0.337,0.686,0.685,0.686,0.686,0.684,0.679,0.686,0.683,0.003,0.005,0.0,0.029,0.002,0.032,0.008,0.001,0.012,0.0,0.013,0.011,0.0,0.008,0.001,0.009,0.001,0.064,0.001,0.042,0.0,0.015,0.028,0.026,0.003,0.009,0.004,0.012
6600,0.945,0.095,4.765,0.053,4.81,0.333,0.686,0.685,0.685,0.686,0.685,0.678,0.686,0.683,0.003,0.005,0.0,0.029,0.002,0.032,0.008,0.001,0.012,0.0,0.012,0.011,0.0,0.008,0.001,0.008,0.001,0.064,0.001,0.04,0.0,0.015,0.027,0.026,0.003,0.01,0.003,0.012
6700,0.945,0.095,4.765,0.049,4.807,0.329,0.686,0.685,0.685,0.686,0.685,0.682,0.686,0.683,0.003,0.005,0.0,0.029,0.003,0.032,0.008,0.001,0.012,0.0,0.011,0.011,0.0,0.008,0.001,0.007,0.001,0.064,0.001,0.038,0.0,0.015,0.026,0.026,0.003,0.01,0.003,0.012
6800,0.945,0.095,4.765,0.048,4.806,0.329,0.686,0.685,0.685,0.686,0.685,0.683,0.686,0.682,0.003,0.005,0.0,0.029,0.003,0.032,0.008,0.001,0.012,0.0,0.011,0.011,0.0,0.008,0.001,0.007,0.001,0.064,0.001,0.038,0.0,0.015,0.026,0.026,0.003,0.011,0.003,0.012
6900,0.945,0.095,4.765,0.049,4.806,0.328,0.686,0.685,0.685,0.686,0.686,0.683,0.686,0.681,0.003,0.005,0.0,0.029,0.003,0.032,0.008,0.001,0.012,0.0,0.011,0.011,0.0,0.008,0.001,0.007,0.001,0.063,0.001,0.038,0.0,0.014,0.026,0.026,0.003,0.011,0.003,0.012
