Epochs,Acc,H[G|U],H[Z],H[U|G],H[U],sumI[A:A],I[A_0:Z],I[A_1:Z],I[A_2:Z],I[A_3:Z],I[A_4:Z],I[A_5:Z],I[A_6:Z],I[A_7:Z],I[A0:A1],I[A0:A2],I[A0:A3],I[A0:A4],I[A0:A5],I[A0:A6],I[A0:A7],I[A1:A2],I[A1:A3],I[A1:A4],I[A1:A5],I[A1:A6],I[A1:A7],I[A2:A3],I[A2:A4],I[A2:A5],I[A2:A6],I[A2:A7],I[A3:A4],I[A3:A5],I[A3:A6],I[A3:A7],I[A4:A5],I[A4:A6],I[A4:A7],I[A5:A6],I[A5:A7],I[A6:A7]
4400,0.992,0.017,4.841,0.037,4.872,0.115,0.689,0.684,0.689,0.683,0.678,0.688,0.687,0.68,0.001,0.0,0.0,0.002,0.002,0.0,0.004,0.0,0.006,0.004,0.006,0.011,0.001,0.0,0.012,0.004,0.0,0.0,0.002,0.008,0.031,0.008,0.001,0.001,0.001,0.0,0.002,0.007
4500,0.992,0.017,4.841,0.037,4.872,0.115,0.689,0.684,0.689,0.683,0.678,0.688,0.687,0.68,0.001,0.0,0.0,0.002,0.002,0.0,0.004,0.0,0.006,0.004,0.006,0.011,0.001,0.0,0.012,0.004,0.0,0.0,0.002,0.008,0.031,0.008,0.001,0.001,0.001,0.0,0.002,0.007
4600,0.992,0.017,4.841,0.037,4.871,0.115,0.689,0.684,0.689,0.683,0.678,0.688,0.687,0.68,0.001,0.0,0.0,0.002,0.002,0.0,0.004,0.0,0.006,0.004,0.006,0.011,0.001,0.0,0.012,0.004,0.0,0.0,0.002,0.008,0.031,0.008,0.001,0.001,0.001,0.0,0.002,0.007
4700,0.992,0.017,4.841,0.037,4.871,0.115,0.689,0.684,0.689,0.684,0.678,0.688,0.687,0.68,0.001,0.0,0.0,0.002,0.002,0.0,0.004,0.0,0.006,0.004,0.006,0.011,0.001,0.0,0.012,0.004,0.0,0.0,0.002,0.008,0.031,0.008,0.001,0.001,0.001,0.0,0.002,0.007
4800,0.992,0.017,4.841,0.037,4.871,0.115,0.689,0.684,0.689,0.684,0.678,0.688,0.687,0.68,0.001,0.0,0.0,0.002,0.002,0.0,0.004,0.0,0.006,0.004,0.006,0.011,0.001,0.0,0.012,0.004,0.0,0.0,0.002,0.008,0.031,0.008,0.001,0.001,0.001,0.0,0.002,0.007
4900,0.992,0.017,4.841,0.037,4.871,0.115,0.689,0.684,0.689,0.684,0.678,0.688,0.687,0.68,0.001,0.0,0.0,0.002,0.002,0.0,0.004,0.0,0.006,0.004,0.006,0.011,0.001,0.0,0.012,0.004,0.0,0.0,0.002,0.008,0.031,0.008,0.001,0.001,0.001,0.0,0.002,0.007
5000,0.992,0.017,4.841,0.037,4.871,0.115,0.689,0.684,0.689,0.684,0.678,0.688,0.687,0.68,0.001,0.0,0.0,0.002,0.002,0.0,0.004,0.0,0.006,0.004,0.006,0.011,0.001,0.0,0.012,0.004,0.0,0.0,0.002,0.008,0.031,0.008,0.001,0.001,0.001,0.0,0.002,0.007
5100,0.992,0.017,4.841,0.037,4.871,0.115,0.689,0.684,0.689,0.684,0.678,0.688,0.687,0.68,0.001,0.0,0.0,0.002,0.002,0.0,0.004,0.0,0.006,0.004,0.006,0.011,0.001,0.0,0.012,0.004,0.0,0.0,0.002,0.008,0.031,0.008,0.001,0.001,0.001,0.0,0.002,0.007
5200,0.992,0.017,4.841,0.037,4.871,0.115,0.689,0.684,0.689,0.684,0.678,0.688,0.687,0.68,0.001,0.0,0.0,0.002,0.002,0.0,0.004,0.0,0.006,0.004,0.006,0.011,0.001,0.0,0.012,0.004,0.0,0.0,0.002,0.008,0.031,0.008,0.001,0.001,0.001,0.0,0.002,0.007
5300,0.992,0.017,4.841,0.037,4.871,0.115,0.689,0.684,0.689,0.684,0.678,0.688,0.687,0.68,0.001,0.0,0.0,0.002,0.002,0.0,0.004,0.0,0.006,0.004,0.006,0.011,0.001,0.0,0.012,0.004,0.0,0.0,0.002,0.008,0.031,0.008,0.001,0.001,0.001,0.0,0.002,0.007
5400,0.992,0.017,4.841,0.037,4.871,0.115,0.689,0.684,0.689,0.684,0.678,0.688,0.687,0.68,0.001,0.0,0.0,0.002,0.002,0.0,0.004,0.0,0.006,0.004,0.006,0.011,0.001,0.0,0.012,0.004,0.0,0.0,0.002,0.008,0.031,0.008,0.001,0.001,0.001,0.0,0.002,0.007
5500,0.992,0.017,4.841,0.037,4.871,0.115,0.689,0.684,0.689,0.684,0.678,0.688,0.687,0.68,0.001,0.0,0.0,0.002,0.002,0.0,0.004,0.0,0.006,0.004,0.006,0.011,0.001,0.0,0.012,0.004,0.0,0.0,0.002,0.008,0.031,0.008,0.001,0.001,0.001,0.0,0.002,0.007
5600,0.992,0.017,4.841,0.037,4.871,0.115,0.689,0.684,0.689,0.684,0.678,0.688,0.687,0.68,0.001,0.0,0.0,0.002,0.002,0.0,0.004,0.0,0.006,0.004,0.006,0.011,0.001,0.0,0.012,0.004,0.0,0.0,0.002,0.008,0.031,0.008,0.001,0.001,0.001,0.0,0.002,0.007
