Epochs,Acc,H[G|U],H[Z],H[U|G],H[U],sumI[A:A],I[A_0:Z],I[A_1:Z],I[A_2:Z],I[A_3:Z],I[A0:A1],I[A0:A2],I[A0:A3],I[A1:A2],I[A1:A3],I[A2:A3]
1800,1.0,0.003,3.466,0.111,3.573,1.533,1.375,1.287,1.325,1.319,0.33,0.292,0.119,0.221,0.289,0.282
1900,1.0,0.003,3.466,0.112,3.574,1.532,1.374,1.287,1.325,1.319,0.33,0.292,0.119,0.221,0.288,0.282
2000,1.0,0.003,3.466,0.112,3.575,1.531,1.374,1.287,1.324,1.319,0.33,0.291,0.119,0.22,0.288,0.282
2100,0.999,0.003,3.466,0.113,3.575,1.53,1.374,1.287,1.324,1.319,0.33,0.291,0.119,0.22,0.288,0.283
2200,1.0,0.003,3.466,0.114,3.576,1.529,1.374,1.287,1.324,1.319,0.33,0.291,0.119,0.219,0.288,0.283
2300,1.0,0.003,3.466,0.115,3.578,1.528,1.373,1.287,1.324,1.319,0.329,0.29,0.118,0.219,0.288,0.283
2400,1.0,0.003,3.466,0.116,3.579,1.526,1.373,1.286,1.324,1.318,0.329,0.29,0.118,0.218,0.288,0.283
2500,1.0,0.003,3.466,0.118,3.58,1.525,1.373,1.285,1.324,1.318,0.329,0.29,0.118,0.218,0.287,0.283
2600,1.0,0.003,3.466,0.119,3.581,1.523,1.372,1.285,1.324,1.318,0.328,0.289,0.118,0.217,0.287,0.283
2700,1.0,0.003,3.466,0.12,3.583,1.521,1.372,1.284,1.324,1.318,0.328,0.289,0.117,0.217,0.287,0.283
2800,0.999,0.003,3.466,0.122,3.584,1.52,1.372,1.283,1.323,1.318,0.328,0.289,0.117,0.216,0.287,0.283
2900,1.0,0.003,3.466,0.124,3.586,1.518,1.372,1.282,1.323,1.318,0.327,0.289,0.117,0.216,0.286,0.283
3000,1.0,0.003,3.466,0.125,3.588,1.516,1.372,1.281,1.323,1.317,0.327,0.289,0.117,0.215,0.286,0.283
3100,1.0,0.003,3.466,0.127,3.589,1.515,1.371,1.28,1.323,1.317,0.326,0.289,0.117,0.215,0.286,0.283
3200,1.0,0.003,3.466,0.129,3.591,1.513,1.371,1.279,1.323,1.317,0.325,0.288,0.116,0.214,0.285,0.283
3300,1.0,0.003,3.466,0.131,3.593,1.511,1.371,1.277,1.323,1.317,0.325,0.288,0.116,0.214,0.285,0.283
3400,1.0,0.003,3.466,0.133,3.595,1.509,1.371,1.276,1.323,1.316,0.324,0.288,0.116,0.213,0.285,0.283
3500,1.0,0.003,3.466,0.135,3.598,1.507,1.371,1.274,1.323,1.316,0.324,0.288,0.116,0.212,0.284,0.282
3600,1.0,0.003,3.466,0.138,3.6,1.504,1.371,1.272,1.323,1.315,0.323,0.288,0.116,0.211,0.284,0.282
3700,1.0,0.003,3.466,0.14,3.603,1.502,1.371,1.27,1.323,1.315,0.322,0.288,0.116,0.211,0.283,0.282
3800,1.0,0.003,3.466,0.143,3.605,1.499,1.371,1.268,1.323,1.315,0.321,0.288,0.115,0.21,0.283,0.282
3900,1.0,0.003,3.466,0.146,3.608,1.497,1.372,1.266,1.322,1.314,0.32,0.288,0.115,0.209,0.282,0.282
4000,1.0,0.003,3.466,0.149,3.611,1.494,1.372,1.264,1.322,1.314,0.319,0.288,0.115,0.207,0.282,0.282
4100,1.0,0.003,3.466,0.152,3.615,1.49,1.372,1.261,1.322,1.313,0.318,0.288,0.115,0.206,0.281,0.282
4200,1.0,0.003,3.466,0.155,3.618,1.487,1.372,1.259,1.322,1.312,0.317,0.288,0.115,0.205,0.28,0.282
4300,1.0,0.003,3.466,0.159,3.622,1.483,1.372,1.256,1.321,1.311,0.316,0.288,0.115,0.203,0.28,0.282
4400,1.0,0.003,3.466,0.163,3.626,1.48,1.372,1.254,1.321,1.31,0.315,0.288,0.114,0.202,0.279,0.281
4500,1.0,0.003,3.466,0.167,3.629,1.476,1.373,1.251,1.321,1.309,0.314,0.288,0.114,0.2,0.278,0.281
4600,1.0,0.003,3.466,0.171,3.633,1.471,1.373,1.249,1.32,1.308,0.313,0.288,0.114,0.199,0.278,0.281
4700,1.0,0.003,3.466,0.175,3.638,1.467,1.373,1.246,1.32,1.307,0.311,0.288,0.114,0.197,0.277,0.281
4800,1.0,0.003,3.466,0.179,3.642,1.462,1.373,1.244,1.32,1.306,0.31,0.287,0.113,0.195,0.276,0.28
4900,1.0,0.003,3.466,0.184,3.646,1.457,1.374,1.241,1.319,1.304,0.309,0.287,0.113,0.193,0.275,0.28
5000,1.0,0.003,3.466,0.188,3.651,1.451,1.374,1.239,1.319,1.303,0.308,0.287,0.113,0.191,0.274,0.28
5100,1.0,0.003,3.466,0.193,3.656,1.445,1.374,1.237,1.318,1.301,0.306,0.286,0.112,0.188,0.273,0.279
5200,1.0,0.003,3.466,0.198,3.66,1.439,1.374,1.235,1.317,1.299,0.305,0.286,0.112,0.185,0.272,0.279
5300,1.0,0.003,3.466,0.202,3.665,1.432,1.375,1.233,1.316,1.297,0.304,0.285,0.111,0.182,0.27,0.278
5400,1.0,0.003,3.466,0.207,3.67,1.425,1.375,1.232,1.316,1.295,0.303,0.285,0.111,0.179,0.269,0.278
5500,1.0,0.003,3.466,0.211,3.674,1.417,1.375,1.231,1.315,1.293,0.302,0.284,0.11,0.175,0.268,0.278
5600,1.0,0.003,3.466,0.215,3.678,1.409,1.375,1.231,1.314,1.291,0.301,0.283,0.109,0.172,0.266,0.277
5700,1.0,0.003,3.466,0.219,3.681,1.401,1.375,1.231,1.313,1.288,0.301,0.283,0.108,0.168,0.265,0.277
5800,1.0,0.003,3.466,0.222,3.685,1.392,1.376,1.232,1.312,1.285,0.3,0.282,0.107,0.165,0.262,0.276
5900,1.0,0.003,3.466,0.226,3.689,1.383,1.376,1.232,1.311,1.282,0.3,0.281,0.105,0.162,0.26,0.275
6000,1.0,0.003,3.466,0.231,3.694,1.374,1.376,1.232,1.31,1.278,0.299,0.281,0.103,0.16,0.256,0.275
6100,1.0,0.003,3.466,0.238,3.7,1.362,1.376,1.231,1.309,1.274,0.298,0.28,0.101,0.158,0.252,0.274
6200,1.0,0.003,3.466,0.245,3.708,1.348,1.376,1.23,1.309,1.269,0.298,0.279,0.097,0.155,0.246,0.274
6300,1.0,0.003,3.466,0.255,3.718,1.33,1.376,1.228,1.308,1.264,0.298,0.279,0.09,0.153,0.238,0.273
6400,1.0,0.003,3.466,0.265,3.727,1.305,1.376,1.226,1.307,1.261,0.298,0.278,0.078,0.15,0.225,0.276
6500,1.0,0.003,3.466,0.262,3.725,1.288,1.376,1.224,1.307,1.269,0.3,0.278,0.066,0.146,0.217,0.281
6600,1.0,0.003,3.466,0.255,3.718,1.284,1.376,1.226,1.306,1.274,0.302,0.277,0.063,0.143,0.215,0.283
6700,1.0,0.003,3.466,0.25,3.712,1.284,1.376,1.23,1.305,1.275,0.304,0.277,0.062,0.142,0.216,0.283
6800,1.0,0.003,3.466,0.247,3.71,1.284,1.376,1.233,1.305,1.274,0.305,0.276,0.062,0.141,0.221,0.28
6900,1.0,0.003,3.466,0.239,3.701,1.295,1.376,1.234,1.305,1.275,0.304,0.276,0.062,0.14,0.243,0.27
