Epochs,Acc,H[G|U],H[Z],H[U|G],H[U],sumI[A:A],I[A_0:Z],I[A_1:Z],I[A_2:Z],I[A_3:Z],I[A0:A1],I[A0:A2],I[A0:A3],I[A1:A2],I[A1:A3],I[A2:A3]
5500,0.898,0.167,4.707,0.02,4.705,0.432,1.375,1.371,1.378,1.36,0.06,0.028,0.13,0.091,0.061,0.062
5600,0.898,0.167,4.692,0.02,4.705,0.432,1.375,1.371,1.378,1.36,0.06,0.028,0.13,0.091,0.061,0.062
5700,0.898,0.167,4.692,0.02,4.705,0.432,1.375,1.371,1.378,1.36,0.06,0.028,0.13,0.091,0.061,0.062
5800,0.898,0.167,4.692,0.02,4.705,0.432,1.375,1.371,1.378,1.36,0.06,0.028,0.13,0.091,0.061,0.062
5900,0.898,0.167,4.692,0.02,4.705,0.432,1.375,1.371,1.378,1.36,0.06,0.028,0.13,0.091,0.061,0.062
6000,0.898,0.167,4.692,0.02,4.705,0.432,1.375,1.371,1.378,1.36,0.06,0.028,0.13,0.091,0.061,0.062
6100,0.898,0.167,4.692,0.02,4.705,0.432,1.375,1.371,1.378,1.36,0.06,0.028,0.13,0.091,0.061,0.062
6200,0.898,0.167,4.703,0.02,4.705,0.432,1.375,1.371,1.378,1.36,0.06,0.028,0.13,0.091,0.061,0.062
6300,0.898,0.167,4.692,0.02,4.705,0.432,1.375,1.371,1.378,1.36,0.06,0.028,0.13,0.091,0.061,0.062
6400,0.898,0.167,4.692,0.02,4.705,0.432,1.375,1.371,1.378,1.36,0.06,0.028,0.13,0.091,0.061,0.062
6500,0.898,0.167,4.707,0.02,4.705,0.432,1.375,1.371,1.378,1.36,0.06,0.028,0.13,0.091,0.061,0.062
6600,0.898,0.167,4.718,0.02,4.705,0.432,1.375,1.371,1.378,1.36,0.06,0.028,0.13,0.091,0.061,0.062
6700,0.898,0.167,4.692,0.02,4.705,0.432,1.375,1.371,1.378,1.36,0.06,0.028,0.13,0.091,0.061,0.062
6800,0.898,0.167,4.71,0.02,4.705,0.432,1.375,1.371,1.378,1.36,0.06,0.028,0.13,0.091,0.061,0.062
6900,0.898,0.167,4.692,0.02,4.705,0.432,1.375,1.371,1.378,1.36,0.06,0.028,0.13,0.091,0.061,0.062
