Epochs,Acc,H[G|U],H[Z],H[U|G],H[U],sumI[A:A],I[A_0:Z],I[A_1:Z],I[A_2:Z],I[A_3:Z],I[A0:A1],I[A0:A2],I[A0:A3],I[A1:A2],I[A1:A3],I[A2:A3]
4700,1.0,0.004,3.466,0.126,3.587,1.613,1.167,1.348,1.279,1.309,0.241,0.366,0.202,0.299,0.296,0.209
4800,1.0,0.004,3.466,0.131,3.592,1.601,1.163,1.347,1.277,1.31,0.237,0.364,0.201,0.296,0.294,0.209
4900,1.0,0.004,3.466,0.136,3.598,1.586,1.159,1.346,1.275,1.31,0.233,0.36,0.199,0.293,0.293,0.208
5000,1.0,0.004,3.466,0.142,3.604,1.569,1.155,1.344,1.273,1.311,0.229,0.357,0.198,0.289,0.291,0.207
5100,1.0,0.004,3.466,0.149,3.611,1.55,1.151,1.342,1.27,1.311,0.223,0.352,0.196,0.284,0.289,0.206
5200,1.0,0.004,3.466,0.157,3.618,1.527,1.145,1.34,1.268,1.311,0.217,0.347,0.194,0.278,0.287,0.205
5300,1.0,0.004,3.466,0.165,3.626,1.499,1.14,1.338,1.265,1.312,0.211,0.34,0.191,0.27,0.284,0.204
5400,1.0,0.004,3.466,0.173,3.634,1.465,1.133,1.336,1.262,1.312,0.202,0.332,0.188,0.26,0.279,0.203
5500,1.0,0.004,3.466,0.179,3.641,1.423,1.126,1.333,1.261,1.312,0.193,0.322,0.186,0.247,0.273,0.202
5600,1.0,0.004,3.466,0.179,3.641,1.376,1.119,1.333,1.262,1.312,0.183,0.312,0.183,0.231,0.266,0.201
5700,0.999,0.004,3.466,0.169,3.631,1.338,1.112,1.34,1.265,1.312,0.174,0.302,0.18,0.219,0.261,0.201
5800,0.999,0.004,3.466,0.158,3.62,1.315,1.106,1.346,1.27,1.312,0.167,0.295,0.178,0.214,0.26,0.202
5900,1.0,0.004,3.466,0.151,3.613,1.299,1.1,1.35,1.272,1.312,0.16,0.29,0.175,0.212,0.259,0.203
6000,1.0,0.004,3.466,0.147,3.609,1.286,1.095,1.352,1.274,1.312,0.155,0.286,0.173,0.211,0.259,0.203
6100,1.0,0.004,3.466,0.145,3.606,1.273,1.089,1.354,1.275,1.312,0.149,0.282,0.171,0.21,0.258,0.204
6200,1.0,0.004,3.466,0.144,3.605,1.261,1.083,1.355,1.275,1.312,0.144,0.278,0.168,0.21,0.258,0.204
6300,0.999,0.004,3.466,0.143,3.605,1.247,1.075,1.355,1.274,1.312,0.138,0.274,0.164,0.21,0.258,0.204
6400,1.0,0.004,3.466,0.142,3.604,1.233,1.068,1.356,1.274,1.312,0.132,0.27,0.16,0.21,0.258,0.204
6500,1.0,0.004,3.466,0.14,3.602,1.219,1.06,1.356,1.273,1.312,0.127,0.265,0.156,0.209,0.258,0.204
6600,1.0,0.004,3.466,0.136,3.598,1.207,1.054,1.356,1.272,1.312,0.122,0.261,0.152,0.209,0.258,0.204
6700,1.0,0.004,3.466,0.133,3.595,1.197,1.051,1.356,1.271,1.311,0.119,0.257,0.15,0.209,0.257,0.205
6800,1.0,0.004,3.466,0.131,3.592,1.19,1.049,1.357,1.27,1.311,0.117,0.253,0.149,0.209,0.257,0.205
6900,1.0,0.004,3.466,0.129,3.591,1.183,1.048,1.357,1.269,1.311,0.116,0.248,0.148,0.209,0.257,0.206
